"","Reach_Name","SITE","PU_Gap_Code","Site_Type","COUNT","Event_Date","SAMPTYPE","LAB_NAME","LAB_ID","TAXONOMIST","LAB_TAXON","TAXON_NAME","TOTAL","X._SUB","NUM_IN_RC","IMMATURE","INDETERMINATE","CONDITION","DISTINCT","AGGREGATED","LAB_COMMENTS","KINGDOM","PHYLUM","SUBPHYLUM","CLASS","SUBCLASS","INFRACLASS","SUPERORDER","ORDER","SUBORDER","INFRAORDER","SUPERFAMILY","FAMILY","SUBFAMILY","TRIBE","SUBTRIBE","GENUS","SUBGENUS","SPECIES","SUBSPECIES","ADDITIONS","ITIS_TAXON_SN","LIFE_STAGE","ABUNDANCE"
"1","kasky15","15","kasky15","random",355,"7/8/2013 ","Freshwater","EcoAnalysts","6940.01-1","J. Pfeiffer","2368","Corbicula sp.",5,100,1,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Corbiculidae","","",NA,"Corbicula",NA,"sp.",NA,NA,81385,"LARVAE",5
"2","kasky15","15","kasky15","random",355,"7/8/2013 ","Freshwater","EcoAnalysts","6940.01-1","J. Pfeiffer","93","Physa sp.",1,100,1,"N","N","N","Y",0,"","Animalia","Mollusca","","Gastropoda","","","","Basommatophora","","","","Physidae","","",NA,"Physa",NA,"sp.",NA,NA,76677,"LARVAE",1
"3","kasky15","15","kasky15","random",355,"7/8/2013 ","Freshwater","EcoAnalysts","6940.01-1","J. Pfeiffer","447","Dubiraphia sp.",119,100,5,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","","","Elmidae","","",NA,"Dubiraphia",NA,"sp.",NA,NA,114126,"LARVAE",14
"4","kasky15","15","kasky15","random",355,"7/8/2013 ","Freshwater","EcoAnalysts","6940.01-1","J. Pfeiffer","487","Peltodytes sp.",1,100,1,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Haliplidae","","",NA,"Peltodytes",NA,"sp.",NA,NA,111923,"LARVAE",1
"5","kasky15","15","kasky15","random",355,"7/8/2013 ","Freshwater","EcoAnalysts","6940.01-1","J. Pfeiffer","490","Berosus sp.",1,100,1,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","","","Hydrophilidae","","",NA,"Berosus",NA,"sp.",NA,NA,112812,"LARVAE",1
"6","kasky15","15","kasky15","random",355,"7/8/2013 ","Freshwater","EcoAnalysts","6940.01-1","G. Wallace","768","Ablabesmyia mallochi",1,100,1,"N","N","N","Y",0,"#6","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Pentaneurini",NA,"Ablabesmyia",NA,"Ablabesmyia mallochi",NA,NA,128097,"LARVAE",1
"7","kasky15","15","kasky15","random",355,"7/8/2013 ","Freshwater","EcoAnalysts","6940.01-1","G. Wallace","1006","Cladotanytarsus sp.",1,100,1,"N","N","N","Y",0,"#12","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Tanytarsini",NA,"Cladotanytarsus",NA,"sp.",NA,NA,129873,"LARVAE",1
"8","kasky15","15","kasky15","random",355,"7/8/2013 ","Freshwater","EcoAnalysts","6940.01-1","G. Wallace","853","Cricotopus sp.",1,100,1,"N","N","N","Y",0,"#10","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Orthocladiinae","",NA,"Cricotopus",NA,"sp.",NA,NA,128575,"LARVAE",1
"9","kasky15","15","kasky15","random",355,"7/8/2013 ","Freshwater","EcoAnalysts","6940.01-1","G. Wallace","839","Cricotopus bicinctus gr.",6,100,1,"N","N","N","Y",0,"#5","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Orthocladiinae","",NA,"Cricotopus",NA,"Cricotopus bicinctus gr.",NA,NA,NA,"LARVAE",6
"10","kasky15","15","kasky15","random",355,"7/8/2013 ","Freshwater","EcoAnalysts","6940.01-1","G. Wallace","940","Dicrotendipes fumidus",22,100,2,"N","N","N","Y",8,"#2, #4, imm. agg.,","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Dicrotendipes",NA,"Dicrotendipes fumidus",NA,NA,129436,"LARVAE",22
